tweet_id,account_name,user_id,timestamp,text,links,repiles,retweets,favorites
1269660456731455489,Eve Castle,800895182,9:00 AM - 7 Jun 2020,autumn night dashed to bits in conversation  ,,Null,9,17
1269476794522009604,1269660456731455489,Eve Castle,800895182,9:00 AM - 7 Jun 2020,autumn night dashed to bits in conversation  ,,Null,9,17
1269476794522009604,1269660456731455489,Eve Castle,800895182,9:00 AM - 7 Jun 2020,autumn night dashed to bits in conversation  ,,Null,9,17
1269476794522009604,
